NIST 614 - 1
start:0
Time,206Pb,207Pb,208Pb,232Th,238U
28.12253,109948.0927,96082.14306,236465.6835,102417.8649,212260.6958
28.25567,108603.0778,99489.5959,252142.6443,96999.90463,218203.8268
28.3888,107964.2463,97409.81983,229843.8777,103048.0121,205571.3334
28.52208,110385.2536,96929.92045,229080.0468,104938.6435,202629.1383
28.65526,111326.8825,94546.69211,233281.6892,99645.593,203698.9479
28.78852,108872.0693,96482.03092,225261.586,100653.621,206855.4156
28.92161,108468.5843,91972.03464,234427.8346,99897.59242,198029.9915
29.05475,107695.2743,94946.53103,225643.38,97629.77984,201719.8715
29.18786,109275.5673,95458.34345,237866.8955,96370.06103,192523.9196
29.32096,106216.0313,93635.107,229843.8777,100275.601,188836.7318
29.45405,106922.0119,95490.33242,223989.0225,100653.621,202575.6502
29.58716,112436.7501,97889.73756,227552.5238,102921.9801,210440.8377
29.72027,110351.6253,95586.29982,234682.5477,104434.4473,215151.5988
29.85345,112134.0492,101553.7145,233791.0743,108468.5843,206320.3654
29.98671,110250.7409,100225.5992,236083.5617,112630.1462,205250.3332
30.1198,109443.6953,96018.16219,230607.7549,104560.4945,208193.1404
30.25293,107190.9673,94018.92424,228443.5564,94102.88582,202361.7001
30.38602,106585.8257,94770.60034,229334.652,113639.2175,203805.9339
30.51915,105947.0967,97649.7764,232772.3247,101535.712,198297.3378
30.65222,110721.5415,96210.10579,217246.5793,94858.56538,201505.9359
30.78538,106047.9465,98849.62809,224752.5452,94480.71991,203377.9955
30.91845,110351.6253,96801.95038,232899.6639,102165.8149,203271.0132
31.0515,110284.3689,94994.51256,230098.4983,99519.59519,200008.4884
31.18537,107325.4472,97921.73273,221444.2808,99771.59208,199580.679
31.31851,112638.5548,96817.94657,240542.3688,114143.7835,211725.4162
31.45172,108838.445,97569.79037,232899.6639,110107.8228,213813.1354
31.58495,110048.9746,99345.6003,239650.4813,105947.0967,201880.3256
31.71819,109813.5847,97425.81679,232262.9807,105947.0967,198938.992
31.85129,109443.6953,95810.2266,236847.8168,95866.20892,199313.3054
31.98438,108535.8309,97729.76294,233663.7261,104308.4014,200703.7098
32.11752,106552.2076,95698.26271,213685.9888,106955.631,205410.8323
32.25061,109443.6953,94482.71906,221444.2808,100527.6131,196586.4195
32.38374,105947.0967,94450.73266,223480.0331,89695.66199,198618.1608
32.51694,106384.1183,93315.26827,227043.3905,99393.59865,197923.0546
32.65018,105510.0904,95218.42878,231753.6573,99393.59865,205945.8438
32.78339,109141.0665,95234.42295,230989.7108,102669.92,205410.8323
32.91641,104199.1627,93331.26001,239268.2631,103426.1156,196051.8052
33.04942,109578.1993,90660.92146,213304.5565,98259.68667,187501.0605
33.18255,101140.8636,90181.28014,214576.0421,93599.12474,191508.4993
33.31569,105644.5523,93043.41176,219154.4522,99645.593,197388.3835
33.44877,105678.168,95298.39983,236210.9343,100527.6131,200436.3124
33.58252,109544.5731,97473.8078,241816.6031,110233.9269,210976.0628
33.71567,110015.3472,98801.63182,243855.6455,100401.6064,205410.8323
33.8488,112033.1506,98673.64266,235319.353,99393.59865,203431.487
33.98197,111831.3556,97393.82289,234809.9062,106577.4212,204019.9085
34.11508,114522.2213,97297.84166,233663.7261,112377.8911,200917.6317
34.24817,108065.1122,95826.22152,225516.1141,101157.6654,194822.2784
34.38127,106484.9716,93571.1386,228061.6776,96244.09611,193485.9723
34.51448,107964.2463,94866.56223,239523.074,98637.64595,195570.6717
34.64763,112571.2862,95234.42295,219408.8571,105947.0967,202415.1872
34.78074,107560.7904,94770.60034,220172.1025,102921.9801,192577.3651
34.91384,106955.631,95586.29982,228316.2622,102669.92,204287.3819
35.04696,108972.9426,95042.49427,240287.5374,104434.4473,205678.3352
35.18005,106955.631,98177.69701,228316.2622,105190.7492,207711.5431
35.31319,113513.0791,95874.20641,235446.7179,100401.6064,197548.7825
35.44626,106081.5633,96034.15738,231880.9863,99141.60936,201559.4194
35.57927,107964.2463,96817.94657,224625.2882,95488.33311,203377.9955
35.71245,110486.139,95170.4464,242071.4654,98385.67183,204126.8972
35.84557,109073.8167,98513.65805,229461.9565,105442.86,214883.8947
35.97886,111764.0914,97601.78472,235701.4516,105442.86,199206.3576
36.11285,107022.8695,96913.92412,234809.9062,103048.0121,203003.5613
36.24598,109544.5731,94130.87314,234045.7746,98763.6349,205785.338
36.37899,105577.3212,92723.58812,231880.9863,98511.65826,196105.2656
36.512,105644.5523,94882.55595,230225.8105,102165.8149,206962.4284
36.64517,111158.7293,96689.97764,237739.5061,102543.8918,193592.8715
36.77836,106888.3929,96881.93152,232772.3247,101157.6654,208728.2701
36.91143,109813.5847,96210.10579,225388.8494,107586.006,199473.7289
37.04459,111293.2517,93922.96883,237994.2861,100779.6302,201505.9359
37.17765,107157.3476,93619.11487,233154.3462,102165.8149,209209.9062
37.31082,107527.1697,95602.29446,229716.5694,108090.3289,192523.9196
37.44403,104871.4162,96242.09668,228443.5564,102165.8149,200864.1509
37.57714,109779.958,93699.07572,213685.9888,92465.73624,200275.8767
37.7104,108972.9426,94578.67875,235446.7179,102039.7918,198725.1037
